categoryName,income,outcome,total
Зарплата / Работа,98499.49,0.0,98499.49
Зарплата / Доп. работа,34482.39,0.0,34482.39
Продукты,0.0,29710.36,29710.36
"Дом, квартира / Ипотека",0.0,16622.0,16622.0
Другое,200.0,8114.0,8314.0
Кэшбэк,7896.09,0.0,7896.09
Отдых,0.0,5925.29,5925.29
Еда на заказ,0.0,5052.0,5052.0
Авто,0.0,4866.78,4866.78
"Дом, квартира / ЖКХ",0.0,4851.04,4851.04
Подарки,0.0,4465.98,4465.98
"Здоровье, #Ира",0.0,4196.0,4196.0
Хоз. Товары,0.0,3107.83,3107.83
Спорт/здоровье,0.0,1800.0,1800.0
Проезд,0.0,1046.0,1046.0
Интернет,0.0,433.0,433.0
Подписки,0.0,398.0,398.0
Телефон,0.0,300.0,300.0
Здоровье,0.0,125.0,125.0
